id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
0,The Martian,"
        (The Martian #1)
",Andy Weir,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor",February 11th 2014,"Crown

            ,",384,English,"77,156",4.4,"Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015),John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015),ITW Thriller Award Nominee for Best First Novel (2015),Audie Award for Science Fiction (2015),ALA Alex Award (2015)"
1,Under the Banner of Heaven: A Story of Violent Faith,,Jon Krakauer,"Nonfiction,Religion,History,Crime,True Crime,Mystery,Crime,Audiobook,Biography,Religion,Cults,Book Club",2004,"Pan MacMillan

            ,",400,English,"10,981",3.98,Colorado Book Award for General Nonfiction (2004)
2,Cutting for Stone,,Abraham   Verghese,"Fiction,Historical,Historical Fiction,Cultural,Africa,Book Club,Health,Medicine,Eastern Africa,Ethiopia,Medical,Novels,Literary Fiction",February 3rd 2009,"Alfred A. Knopf

            ,",541,English,"26,253",4.29,"PEN/Hemingway Foundation Award Nominee (2010),Exclusive Books Boeke Prize Nominee (2011),Indies Choice Book Award for Adult Fiction (2010),Dayton Literary Peace Prize Nominee for Fiction (2010),Wellcome Book Prize Nominee for Shortlist (2009)"
3,We Need to Talk About Kevin,,Lionel Shriver,"Fiction,Contemporary,Thriller,Horror,Mystery,Crime,Drama,Psychology,Adult,Literary Fiction",July 3rd 2006,"Harper Perennial

            ,",400,English,"14,787",4.04,Orange Prize for Fiction (2005)
4,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,"Nonfiction,Science,History,Biography,Health,Medicine,Audiobook,Medical,Book Club,Biography Memoir",February 2nd 2010,"Crown Publishing Group

            ,",370,English,"36,574",4.07,"Ambassador Book Award for American Studies (2011),Audie Award for Nonfiction (2011),Chicago Tribune Heartland Prize for Nonfiction (2010),Wellcome Book Prize (2010),Puddly Award for Nonfiction (2011)"
5,"Eragon (The Inheritance Cycle, #1)","
        (The Inheritance Cycle #1)
",Christopher Paolini,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy",Apr-05,"Alfred A. Knopf

            ,",503,English,"23,615",3.92,"Book Sense Book of the Year Award for Children's Literature (2004),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007),South Carolina Book Award for Young Adult Book (2006),Grand Canyon Reader Award for Teen Book (2006),Nene Award (2006)"
6,Unaccustomed Earth,,Jhumpa Lahiri,"Fiction,Short Stories,Cultural,India,Contemporary,Literary Fiction,Asian Literature,Indian Literature,Literature,Adult,Book Club",2008,Knopf,352,English,"8,175",4.07,"Frank O'Connor International Short Story Award (2008),The Story Prize Nominee (2008),Commonwealth Writers' Prize for Best Book in South Asia and Europe (2009),Asian/Pacific American Award for Literature for Adult Fiction (2008)"
7,"A Dance with Dragons (A Song of Ice and Fire, #5)","
        (A Song of Ice and Fire #5)
",George R.R. Martin,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Fantasy,Dragons,Adult,Adventure,Audiobook",July 12th 2011,Bantam,1125,English,"22,819",4.31,"Hugo Award Nominee for Best Novel (2012),Locus Award for Best Fantasy Novel (2012),World Fantasy Award Nominee for Best Novel (2012),SFX Award for Best Novel (2012),British Fantasy Award Nominee for Best Novel (2012)"
8,The Outlands  (The Outlands Saga #1),"
        (The Outlands Saga #1)
",Tyler Edwards,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fantasy,Thriller,Adventure,Apocalyptic,Post Apocalyptic,Action,Fiction",December 14th 2020,iFlow Creative,452,English,145,4.17,
9,"Clockwork Angel (The Infernal Devices, #1)","
        (The Infernal Devices #1)
",Cassandra Clare,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fiction,Fantasy,Urban Fantasy,Paranormal,Vampires",August 31st 2010,Margaret K. McElderry Books,479,English,"35,507",4.3,"RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011),Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010),The Inky Awards for Silver Inky (2011),Lincoln Award Nominee (2013),Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010)"
10,"World Without End (Kingsbridge, #2)","
        (Kingsbridge #2)
",Ken Follett,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,Audiobook,European Literature,British Literature,Novels,Romance,Fantasy",October 4th 2007,Dutton,1014,English,"12,064",4.26,
11,"Animal, Vegetable, Miracle: A Year of Food Life",,"Barbara Kingsolver,Steven L. Hopp,Camille Kingsolver,Richard A. Houser","Nonfiction,Food and Drink,Food,Autobiography,Memoir,Horticulture,Gardening,Health,Environment,Food and Drink,Cooking,Audiobook,Environment,Nature",May 1st 2007,HarperCollins Publishers,370,English,"10,942",4.01,Book Sense Book of the Year Award for Adult Nonfiction (2008)
12,The Five People You Meet in Heaven,"
        (The Five People You Meet in Heaven #1)
",Mitch Albom,"Fiction,Inspirational,Contemporary,Fantasy,Classics,Adult,Spirituality,Adult Fiction,Philosophy",September 23rd 2003,"Hyperion

            ,",196,English,"22,391",3.95,Lincoln Award Nominee (2008)
13,On Beauty,,Zadie Smith,"Fiction,Contemporary,Novels,Literary Fiction,European Literature,British Literature,Literature,Adult Fiction,Family,Race",August 29th 2006,"Penguin Books

            ,",445,English,"5,087",3.73,"Booker Prize Nominee (2005),Orange Prize for Fiction (2006),Somerset Maugham Award (2006),Anisfield-Wolf Book Award (2006),Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2006)"
14,The Known World,,,,,NaN,NaN,,NaN,,
15,Coraline,,,,,NaN,NaN,,NaN,,
16,"Graceling (Graceling Realm, #1)",,,,,NaN,NaN,,NaN,,
17,Year of Wonders,,,,,NaN,NaN,,NaN,,
18,"The Last Olympian (Percy Jackson and the Olympians, #5)",,,,,NaN,NaN,,NaN,,
19,Freedom,,,,,NaN,NaN,,NaN,,
20,"A Feast for Crows (A Song of Ice and Fire, #4)",,,,,NaN,NaN,,NaN,,
21,The Goldfinch,,,,,NaN,NaN,,NaN,,
22,Shantaram,"
        (Shantaram #1)
",Gregory David Roberts,"Fiction,Cultural,India,Travel,Adventure,Contemporary,Novels,Historical,Historical Fiction,Cultural,Asia,Mystery,Crime",2004,"Scribe

            ,",936,English,"14,359",4.23,Commonwealth Writers' Prize Nominee for Best First Book (the Pacific Region) (2004)
23,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",,,,,NaN,NaN,,NaN,,
